n	Calculated Energy	Theoretical Energy	Percentage Difference
0	-1.099800	0.078400	1502.81%
1	-0.992592	0.225600	539.98%
2	-0.992592	0.360000	375.72%
3	-0.984024	0.481600	304.32%
4	-0.984024	0.590400	266.67%
5	-0.975039	0.686400	242.05%
6	-0.975039	0.769600	226.69%
7	-0.965628	0.840000	214.96%
8	-0.965628	0.897600	207.58%
9	-0.955779	0.942400	201.42%
10	-0.955779	0.974400	198.09%
11	-0.945482	0.993600	195.16%
12	-0.945482	1.000000	194.55%
13	-0.934725	0.993600	194.07%
14	-0.934725	0.974400	195.93%
15	-0.934725	0.942400	199.19%
16	-0.886870	0.897600	198.80%
17	-0.886870	0.840000	205.58%
18	-0.873639	0.769600	213.52%
19	-0.873639	0.686400	227.28%
20	-0.859875	0.590400	245.64%
21	-0.859875	0.481600	278.55%
22	-0.845567	0.360000	334.88%
23	-0.845567	0.225600	474.81%
24	-0.830701	0.078400	1159.57%
25	-0.830701	-0.081600	918.02%
26	-0.815263	-0.254400	220.47%
27	-0.815263	-0.440000	85.29%
28	-0.799240	-0.638400	25.19%
29	-0.799240	-0.849600	5.93%
30	-0.782617	-1.073600	27.10%
31	-0.782617	-1.310400	40.28%
32	-0.765379	-1.560000	50.94%
33	-0.765379	-1.822400	58.00%
34	-0.754336	-2.097600	64.04%
35	-0.648212	-2.385600	72.83%
36	-0.648212	-2.686400	75.87%
37	-0.626246	-3.000000	79.13%
38	-0.626246	-3.326400	81.17%
39	-0.603538	-3.665600	83.54%
40	-0.603538	-4.017600	84.98%
41	-0.580072	-4.382400	86.76%
42	-0.580072	-4.760000	87.81%
43	-0.555830	-5.150400	89.21%
44	-0.555830	-5.553600	89.99%
45	-0.530793	-5.969600	91.11%
46	-0.530793	-6.398400	91.70%
47	-0.504943	-6.840000	92.62%
48	-0.504943	-7.294400	93.08%
49	-0.478261	-7.761600	93.84%
50	-0.478261	-8.241600	94.20%
51	-0.450728	-8.734400	94.84%
52	-0.450728	-9.240000	95.12%
53	-0.422324	-9.758400	95.67%
54	-0.422324	-10.289600	95.90%
55	-0.393028	-10.833600	96.37%
56	-0.393028	-11.390400	96.55%
57	-0.362821	-11.960000	96.97%
58	-0.362821	-12.542400	97.11%
59	-0.331682	-13.137600	97.48%
60	-0.331682	-13.745600	97.59%
61	-0.299588	-14.366400	97.91%
62	-0.299588	-15.000000	98.00%
63	-0.285707	-15.646400	98.17%
64	-0.085727	-16.305600	99.47%
65	-0.085727	-16.977600	99.50%
66	-0.046314	-17.662400	99.74%
67	-0.046314	-18.360000	99.75%
68	-0.005759	-19.070400	99.97%
69	-0.005759	-19.793600	99.97%
